Restaurant Name,Cuisines,Average Cost for two,Price range,Aggregate rating
Motu N Patlu,"Lebanese, North Indian, Fast Food",250,1,0.0
S.K. Fast Food,Chinese,350,1,0.0
Sufiyan Restaurant,Mughlai,250,1,0.0
The Relax Point,North Indian,250,1,0.0
Zareen's Dastarkhwan,Awadhi,800,2,0.0
Ali Baba Caves,"Cafe, Chinese",500,2,3.1
Caf�� Doo Ghoont,Cafe,600,2,3.4
Knights Chaska,"North Indian, Chinese",800,2,2.9
Thirsty Scholar Cafe,Cafe,450,1,3.2
Savoury Street,"North Indian, Continental, Italian",600,2,0.0
JSB Evergreen Snack & Sweets,"North Indian, Chinese, Fast Food, Street Food",300,1,3.1
221 B Baker Street,Bakery,200,1,3.5
Kapoors Balle Balle,"North Indian, Chinese",400,1,3.7
Lakshmi Coffee House,South Indian,300,1,3.8
Geoffrey's,"Asian, Continental, Italian, North Indian",2600,4,3.0
Haldiram's,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",600,2,3.5
Maamouchee @ My Way,"Italian, Lebanese, North Indian",1100,3,3.5
Americana Kitchen and Bar,"American, Tex-Mex, Italian, Mexican, North Indian",2000,4,2.4
Punjabi By Nature Quickie,"North Indian, Mughlai",1100,3,3.4
United Coffee House Rewind,"North Indian, European, Asian, Mediterranean",1500,3,3.4
Wow! Momo,"Tibetan, Chinese",350,1,2.7
Oh So Stoned!,Desserts,250,1,4.5
The Big Chill Cakery,"Bakery, Desserts",700,2,4.5
Barista,Cafe,650,2,3.5
Big Wong XL,"Chinese, Thai, Sushi",1500,3,3.9
Carl's Jr.,"Burger, American, Fast Food",650,2,3.8
Chaayos,"Cafe, Tea",400,1,3.9
Chi Asian Cookhouse,"Chinese, Thai, Asian, Japanese, Korean, Seafood",1400,3,3.9
Costa Coffee,Cafe,600,2,3.7
Dunkin' Donuts,"Burger, Desserts, Fast Food",600,2,3.7
Instapizza,"Pizza, Fast Food",900,2,3.7
Keventers,Beverages,400,1,3.8
Pirates of Grill,"North Indian, Continental, Mughlai, Asian",1800,3,3.9
Pizza Hut,"Italian, Pizza, Fast Food",1000,3,3.9
PizzaExpress,"Italian, Pizza",1600,3,3.9
RollsKing,Fast Food,400,1,3.9
Taco Bell,"Mexican, Fast Food",550,2,3.6
The Frozen Factory,"Ice Cream, Desserts",350,1,3.7
Theos,"Bakery, Desserts",500,2,3.5
Wendy's,"Burger, Fast Food",400,1,3.7
Zizo,"Lebanese, Mediterranean, Middle Eastern, Arabian",1600,3,3.8
Cafe Delhi Heights,"Continental, American, Cafe",1500,3,4.1
Chili's Grill & Bar,"Mexican, American, Italian",1500,3,4.1
Made In Punjab,"North Indian, Mughlai",1500,3,4.1
Mamagoto,"Asian, Thai, Chinese",1600,3,4.3
Movenpick,"Ice Cream, Desserts",650,2,4.0
Smaaash,"North Indian, Thai, Continental",1350,3,4.0
SodaBottleOpenerWala,"Parsi, Iranian",1300,3,4.0
The Bento Cafe,"Asian, Chinese, Japanese",750,2,4.2
Earthen Oven - Fortune Inn Grazia,"North Indian, Mughlai",1500,3,3.4
Fortune Deli -  Fortune Inn Grazia,Chinese,2000,4,3.2
Cafe Pipa,Cafe,350,1,3.4
Cook Du Kdu,"North Indian, Chinese, Mughlai",650,2,3.1
Green Chick Chop,"Raw Meats, North Indian, Fast Food",350,1,2.6
New Vishal's Kitchen,"North Indian, Chinese",600,2,2.5
Samarkand,"North Indian, Mughlai, Chinese",1500,3,3.3
Mirchievous,North Indian,650,2,3.9
Pearls Regency,"North Indian, Chinese, Thai",1200,3,3.7
The Feast Box,"Chinese, Thai, Fast Food",600,2,0.0
Imperfecto,"Mediterranean, Italian, Continental, Spanish, North Indian",1800,3,3.4
Chaayos,"Cafe, Tea",400,1,3.6
Dunkin' Donuts,"Burger, Desserts, Fast Food",600,2,3.7
The Smoke Factory,"North Indian, Italian, Chinese",2000,4,3.8
Turquoise Cottage - TC Original 1997,"Continental, American, Italian, Mediterranean",1900,3,3.8
Baskin Robbins,Ice Cream,300,1,0.0
Cafe Coffee Day,Cafe,450,1,0.0
Dolce Gelato,"Ice Cream, Beverages, Fast Food",300,1,0.0
Dunkin' Donuts,"Burger, Desserts, Fast Food",600,2,0.0
Joost Juice Bar,Beverages,300,1,0.0
KFC,"American, Fast Food, Burger",500,2,0.0
Pizza Hut,"Italian, Pizza, Fast Food",1000,3,0.0
Laat Saab,"North Indian, Mughlai",1300,3,4.1
Starbucks,Cafe,700,2,4.0
Rocket Food,North Indian,500,2,0.0
Aim Cafe And Restaurant,"Japanese, Sushi",1200,3,3.3
Al-Swad,"North Indian, Chinese",400,1,2.5
Anands,"Chinese, North Indian",500,2,2.6
Bansiwala Restaurant,North Indian,200,1,2.5
Cafe Coffee Day,Cafe,450,1,2.8
Food Tamasha & Co.,North Indian,600,2,3.2
Grand Heritage Resort,"North Indian, Chinese",800,2,3.1
Green Chick Chop,"Raw Meats, North Indian, Fast Food",350,1,3.2
Kafe Republic,Fast Food,300,1,3.1
Kar C Lounge & Restaurant,"Cafe, North Indian, Italian, Chinese",600,2,2.8
Kolkata Roll Point,Fast Food,100,1,2.8
Royal Awadh,"North Indian, Mughlai",500,2,3.0
Royal Rasoi,"North Indian, Mughlai",600,2,2.8
Royale Bakers,"Bakery, Fast Food, Desserts",250,1,2.8
Sahi Darbar,"North Indian, Chinese",400,1,2.6
Taco Street,Fast Food,500,2,2.9
The Noodle Co,"Thai, Chinese",900,2,3.1
Veg Always,"North Indian, Chinese",600,2,2.7
Yu Turn,"North Indian, Chinese, Thai",1000,3,2.9
Zaika,"North Indian, Mughlai, Chinese",600,2,2.5
Zaika,"North Indian, Mughlai",600,2,2.8
Domino's Pizza,"Pizza, Fast Food",700,2,3.5
Night Food Service,"Fast Food, North Indian, Chinese",350,1,3.8
Uncle's Patty,Fast Food,500,2,3.5
Baskin Robbins,Ice Cream,300,1,0.0
Evergreen Food Point,"Mithai, Street Food",100,1,0.0
Food Plaza,"North Indian, Chinese",400,1,0.0
Giani,"Ice Cream, Desserts",400,1,0.0
Grill Inn,Fast Food,300,1,0.0
Hunger's Hut,"North Indian, Mughlai",350,1,0.0
Kanha Cake O' Pastry,Bakery,250,1,0.0
Serendipity Cafe,Cafe,300,1,0.0
Spice Affair,"North Indian, Chinese",500,2,0.0
Tandoori Junction,North Indian,300,1,0.0
Tod-Bistro Cafe,Fast Food,300,1,0.0
Upper Deck,"North Indian, Chinese",1000,3,0.0
Vadilal Ice Cream Parlour,Ice Cream,100,1,0.0
Wich 'N' Shake,"Beverages, Fast Food",200,1,0.0
Desi Galli,"North Indian, Chinese",500,2,2.9
Mr. Flavour,"North Indian, Chinese",500,2,2.7
Wah Ji Wah,North Indian,300,1,3.1
Indian Diners,"North Indian, Chinese, Continental",1300,3,3.0
Airborne,"North Indian, Chinese, Continental, Mughlai",2000,4,0.0
Vivino - Hotel Golf View,Continental,1200,3,0.0
Gravity,"Chinese, Mughlai, North Indian",1000,3,2.6
Kolkata Biryani House,"North Indian, Mughlai, Biryani",500,2,2.8
Rotees n More,"North Indian, Chinese",350,1,3.2
Saleem's Takeaway,"North Indian, Mughlai, Chinese",600,2,2.6
Sikandrabadi Biryani,"Biryani, North Indian",400,1,3.4
Wok N Spice,"Chinese, Fast Food",300,1,3.1
Zaika Hindustani,"Mughlai, North Indian, Chinese",600,2,2.7
Chanda Food,Chinese,350,1,3.6
Chhote Nawab,Lucknowi,250,1,3.5
Delish BBQ,"North Indian, Chinese, Thai",500,2,3.9
Goli Vada Pav No. 1,Street Food,150,1,3.6
Happy Hakka,"Chinese, Asian, Thai",650,2,3.6
Sadda Adda,Cafe,300,1,0.0
Baker's Studio - Jaypee Greens,Bakery,1000,3,3.4
Matrix - Jaypee Greens,Finger Food,2000,4,3.2
Tea Lounge - Jaypee Greens,Cafe,900,2,2.9
Paatra - Jaypee Greens,North Indian,3500,4,3.5
Cooks Cafe - Jaypee Greens,"Continental, North Indian",1500,3,3.3
The Butler & The Chef - Jaypee Greens,Finger Food,2200,4,0.0
Burger King,"Burger, Fast Food",500,2,3.3
Cafe Pitacos,"Continental, Mexican, Mediterranean",600,2,3.0
Cinnabon & Auntie Anne's,"Desserts, Beverages",500,2,3.1
Cocoberry,Desserts,300,1,3.4
Hakka Haus,"Chinese, Thai",950,2,3.2
Kebab Xpress,"North Indian, Mughlai",600,2,2.9
KFC,"American, Fast Food, Burger",500,2,2.5
Mad Over Donuts,Desserts,450,1,3.2
Ni Hao,Chinese,700,2,3.0
Pizza Hut,"Italian, Pizza, Fast Food",1000,3,2.6
Subway,"American, Fast Food, Salad, Healthy Food",500,2,2.6
Time To Tea,"Tea, Fast Food",350,1,2.8
Vaango!,South Indian,450,1,2.8
Biryani Blues,"Biryani, Hyderabadi",1000,3,3.5
Jungle Jamboree,"North Indian, Continental, Chinese, Italian, Thai, Mughlai",1200,3,3.8
Keventers,Beverages,400,1,3.5
Pita Pit,"Healthy Food, Salad",600,2,3.6
Baskin Robbins,Ice Cream,300,1,0.0
Cha Cha Cha,"Beverages, Fast Food",300,1,0.0
Chai Thela,"Tea, Fast Food",250,1,0.0
Costa Coffee,Cafe,600,2,0.0
Dolce Gelato,"Ice Cream, Beverages, Fast Food",300,1,0.0
Joost Juice Bar,Beverages,300,1,0.0
Juice Lounge,"Juices, Fast Food",300,1,0.0
Kings Kulfi,"Desserts, Ice Cream",300,1,0.0
Kwality Wall's Swirl's,"Ice Cream, Desserts",200,1,0.0
Mx Corn,Fast Food,100,1,0.0
The Gaming Vegas,Fast Food,400,1,0.0
Chicago Pizza,Pizza,600,2,2.3
Mr. Sub,Fast Food,400,1,2.3
Kwality Wall's Swirl's,"Ice Cream, Desserts",200,1,0.0
My Corn,Fast Food,100,1,0.0
Flluid - Mosaic Hotels,"Continental, North Indian, Mexican",2200,4,3.2
Latitude - Mosaic Hotels,"North Indian, Chinese",1700,3,3.3
Baker's Zone,Bakery,200,1,2.9
Chakna,"North Indian, Chinese",450,1,2.7
Get Set Go,"North Indian, Chinese, Continental",800,2,3.1
Sip & Snacks,"Chinese, North Indian",550,2,3.2
The Anna,"Chinese, South Indian, Fast Food",400,1,2.8
Kathi Junction,Fast Food,400,1,3.5
Golden Chaat,Fast Food,100,1,0.0
Malt n Brew,"North Indian, Continental, Chinese",2000,4,0.0
Cakewalk - Park Plaza,Bakery,500,2,3.4
New Town Lounge - Park Plaza,Continental,2000,4,3.2
New Town Cafe - Park Plaza,"Continental, Chinese, North Indian",2800,4,4.1
S-18 - Radisson Blu,"Mediterranean, Continental, North Indian, Italian",3200,4,3.5
Foodicious,"Fast Food, Street Food",300,1,0.0
Rasoi Dil Se,"North Indian, Chinese, Continental",400,1,0.0
Chip Chap Shahi Corner,North Indian,200,1,2.9
Mother's Kitchen,North Indian,100,1,2.9
Food Express,"North Indian, Mughlai, Chinese",500,2,0.0
Lemonier,Bakery,200,1,0.0
Punjabi Zaika,North Indian,200,1,0.0
Robins Sweets & Restaurant,North Indian,350,1,0.0
TBH ��� To Be Healthy,"Juices, Healthy Food",500,2,4.0
Mehfill,"North Indian, Chinese, Mughlai",600,2,2.7
Punjabi Pakwaan,"North Indian, Chinese",800,2,3.3
Santushti,"South Indian, North Indian, Chinese",300,1,2.6
Uncle's,"North Indian, Mughlai, Chinese",600,2,3.4
Cafe Limelight,"Cafe, North Indian, Italian",900,2,3.7
Rendezvous Adda,"North Indian, Bengali",400,1,0.0
Wow Noodle,Chinese,550,2,0.0
Wraps Cafe,"Fast Food, North Indian",400,1,0.0
Alley's Urbane Cafe,"Cafe, Italian, Chinese",400,1,3.2
Backstreet Kitchen,"North Indian, Mughlai, Chinese",500,2,3.4
Berco's,"Chinese, Thai",1100,3,3.1
Breaktym,"North Indian, Mughlai",400,1,2.6
Chawla's 2,"North Indian, Mughlai, Chinese",1400,3,2.5
Chicken Kraft,"North Indian, Chinese",400,1,2.9
Chinese By Nature,Chinese,400,1,2.9
DV's Chinese Kitchen,Chinese,300,1,2.8
Evergreen Sweets,"Mithai, Street Food",200,1,2.6
Green Chick Chop,"Raw Meats, Fast Food, North Indian",350,1,2.9
Hyderabad Delights,"North Indian, Mughlai, Hyderabadi",400,1,3.3
Kabab And Tadka,North Indian,600,2,2.5
Kanha Bhog,"Mithai, Street Food",150,1,2.6
Mezbaan Jaika Restaurant,"Biryani, North Indian, Fast Food",500,2,2.7
Pind Balluchi,"Biryani, North Indian, Mughlai",1000,3,2.6
Red Capsicum,North Indian,500,2,2.6
Singh Foods,"North Indian, Mughlai",700,2,3.2
Sparrows At Home Bakery & Cafe,"Cafe, Bakery",500,2,3.3
The New Koyla Kitchen,"North Indian, Chinese",600,2,2.7
They�_����,"North Indian, Mughlai, Chinese",800,2,3.4
Your Spicy Kitchen,"Mughlai, Continental, Chinese",800,2,3.1
Yumm Biryani,"Biryani, Mughlai",550,2,3.2
Aureo Dine & Bake House,"North Indian, Chinese, Continental",1000,3,3.5
Being Truckers,Fast Food,550,2,3.8
China Leaf,"Chinese, Thai",650,2,3.7
Mera Vala Dabba,North Indian,400,1,3.6
Moti Mahal Delux- Legendary Culinary,"North Indian, Mughlai",900,2,3.6
Noshh,North Indian,850,2,3.6
Tadqa Tandoor Express,"North Indian, Mughlai",750,2,3.6
The Kebab Company,"Fast Food, North Indian",400,1,3.5
Affamato,"Italian, Pizza",400,1,0.0
Ahmed's,Mughlai,200,1,0.0
Caff�� La Poya,"Cafe, Continental, Fast Food, Italian",600,2,0.0
Chaskaa Restaurant,"North Indian, Mughlai, Chinese",400,1,0.0
Chawla's 2,"North Indian, Mughlai, Chinese, Fast Food",700,2,0.0
Chination,Chinese,700,2,0.0
Essen Foods,"North Indian, Chinese, Mughlai",500,2,0.0
Haochi,Chinese,600,2,0.0
Lassilo,Fast Food,200,1,0.0
Mittal Bikaneri Sweets,"Mithai, Street Food",100,1,0.0
Royale Bakers,"Bakery, Fast Food, Desserts",350,1,0.0
RV's Family Restaurant,"North Indian, South Indian, Italian, Chinese",500,2,0.0
The Cake Shop,Bakery,250,1,0.0
Top Food,"North Indian, Chinese",300,1,0.0
Uncle's Corner,Fast Food,400,1,0.0
Urban Express,North Indian,400,1,0.0
Viddya Chinese Fast Food,"Chinese, Fast Food",300,1,0.0
Domino's Pizza,"Pizza, Fast Food",700,2,2.1
Kamboj's,"North Indian, Mughlai, Chinese",800,2,2.4
Pizza Hut Delivery,"Italian, Pizza",800,2,2.3
Subway,"American, Fast Food, Salad, Healthy Food",500,2,2.4
The Cake Expert's,"Bakery, Desserts, Fast Food",250,1,2.4
The Saffron Boutique,"North Indian, Chinese",800,2,4.0
Aggarwal Kachori Wale,North Indian,100,1,3.0
Bakes & Cakes,Bakery,250,1,3.0
Burger's Kitchen,Fast Food,350,1,2.8
Jhatpat Khana,North Indian,400,1,3.0
Mahi Rasoi,North Indian,500,2,2.6
Night Safari Cafe,Fast Food,300,1,3.0
Saheb's Restaurant,"North Indian, Chinese, Mughlai, Fast Food",550,2,2.7
Scrummy Bites,"North Indian, Chinese",350,1,3.1
Berco's,"Chinese, Thai",1100,3,3.7
Cream Bell Scoopers,Ice Cream,200,1,0.0
Mayur Kitchen,"North Indian, Mughlai",500,2,0.0
Raghav Ki Rasoi,"North Indian, Chinese",350,1,0.0
Red Chilli,"North Indian, Chinese, Mughlai",500,2,0.0
Riyaz Biryani Corner,Biryani,200,1,0.0
Standard Sweets & Confectioners,"Mithai, Street Food",150,1,0.0
Standard Sweets,"Mithai, Street Food",150,1,0.0
Sushma Homemade Tiffin,"North Indian, South Indian",200,1,0.0
The Tasty Corner,"North Indian, Chinese",300,1,0.0
The Zaika King,"North Indian, Mughlai",600,2,0.0
Tiffinhunt,North Indian,200,1,0.0
Top Burger,Fast Food,200,1,0.0
Aggarwal Sweet Shop,"Mithai, Street Food",150,1,2.3
Hungry - I,"Cafe, Italian, Continental, Chinese",450,1,2.6
Oh Buoy,"Mexican, Italian, Fast Food",550,2,3.4
Caffeinated,Beverages,200,1,3.9
Sam and Scrooge,"Continental, Mexican, American, Fast Food, Italian, Chinese",550,2,3.9
Tpot,Cafe,400,1,3.6
Hunger's Hub,"Chinese, Fast Food",200,1,0.0
Modi's Baker's Zone,"Bakery, Fast Food, Chinese",400,1,0.0
The Flip On Wheel,"North Indian, Fast Food",400,1,0.0
Big Biryani,"Biryani, Mughlai",300,1,0.0
Aroma,"South Indian, North Indian, Street Food",300,1,3.0
Bawarchi,"North Indian, Mughlai, Fast Food",450,1,2.9
Book Food Kitchen,"North Indian, Chinese",400,1,3.1
Breaktym,"North Indian, Mughlai",400,1,2.5
Chaska By Taste,"North Indian, Chinese",600,2,2.9
Domino's Pizza,"Pizza, Fast Food",700,2,2.5
Grill King,"North Indian, Chinese",400,1,3.0
Moti Mahal Deluxe Advant,"North Indian, Mughlai",1400,3,2.8
Rolling Beans,North Indian,200,1,2.8
RollsKing,Fast Food,400,1,3.2
SnacksWale.com,"North Indian, Fast Food",400,1,2.8
Subway,"American, Fast Food, Salad, Healthy Food",500,2,2.6
Super Cake Shop,"Bakery, Desserts",300,1,2.9
Aureo Dine & Bake House,"Bakery, Fast Food",300,1,0.0
B Bawarchi Restaurant,"North Indian, Mughlai, Chinese",600,2,0.0
Brajwasi,North Indian,500,2,0.0
Cafe Coffee Day,Cafe,450,1,0.0
Cafe Coffee Day,Cafe,450,1,0.0
Cafe Lounge,"Cafe, Bakery, Fast Food",350,1,0.0
Cafe Treat,"North Indian, Italian, Continental",450,1,0.0
Casa Bake,Bakery,700,2,0.0
China Town,Chinese,300,1,0.0
Costa Coffee,Cafe,600,2,0.0
Delhi Foods,North Indian,200,1,0.0
Deli Chic,"North Indian, Chinese",400,1,0.0
Delicacies,Bakery,500,2,0.0
Kanha Ji Sweets & Restaurant,"Mithai, North Indian, Street Food",200,1,0.0
Little China,Chinese,250,1,0.0
Lola's Cafe,"Cafe, Fast Food",350,1,0.0
Madras Coffee House,Beverages,100,1,0.0
Moju Juice Bar,Beverages,200,1,0.0
Peniel Restaurant,South Indian,200,1,0.0
Pizza Key,"Pizza, Fast Food",700,2,0.0
Sandoz,"North Indian, Chinese",500,2,0.0
Subway,"American, Fast Food, Salad, Healthy Food",500,2,0.0
Tandoori Mystery,North Indian,400,1,0.0
Taste of Punjab,North Indian,300,1,0.0
Tea Nation,"Fast Food, Beverages",200,1,0.0
The Corporate Kitchen,"North Indian, Chinese",300,1,0.0
The Royal Kitchen,"North Indian, Chinese",400,1,0.0
Tpot,"Fast Food, Beverages",500,2,0.0
Wild Chef House,"Continental, Chinese, North Indian, Indian",500,2,0.0
DIOS The Neighbourhood Bistro,"Continental, Fast Food, Italian",1300,3,4.2
Cake n Flower,Bakery,150,1,2.9
Dilli 6,"North Indian, Chinese",500,2,2.8
Food Bell,"North Indian, South Indian",400,1,2.8
Kalpana Hotel,North Indian,200,1,2.9
Sagar Dhaba,North Indian,350,1,3.1
Shree Balaji Shudh Vaishno Hotel,North Indian,150,1,2.9
Shree Rathnam,"South Indian, North Indian, Chinese",800,2,3.3
Simran's Cake Studio,Bakery,250,1,3.4
Sweet Cake,Bakery,300,1,3.0
The Cake Xpress,"Bakery, Desserts",250,1,3.0
The Chef,"North Indian, Mughlai, Chinese, Fast Food",500,2,2.7
The Flying Pan,"North Indian, Fast Food",400,1,3.2
Wrapster,Fast Food,200,1,3.2
Getafix Petit,"Healthy Food, Juices",700,2,3.5
Lawn Bistro,"North Indian, Chinese, Thai, Continental",1500,3,3.6
Cake N Gifts,Bakery,300,1,0.0
Cheese Pizza,Pizza,250,1,0.0
Divya Hotal,North Indian,150,1,0.0
Green Valley Chinese Food,Chinese,200,1,0.0
Hooting Owl Cafe,"Fast Food, Beverages",300,1,0.0
Jaak Foods,"North Indian, Chinese",400,1,0.0
Kaka Restaurant,"Mughlai, North Indian",450,1,0.0
KC Bakers,Bakery,350,1,0.0
KC Bakery,Bakery,250,1,0.0
Rajan Foods Corner,North Indian,300,1,0.0
Sagar Dhaba,North Indian,350,1,0.0
Sarfira,Fast Food,200,1,0.0
Shama Chicken Corner,Mughlai,300,1,0.0
Yummy Kitchen,"North Indian, Mughlai",450,1,0.0
Barista,Cafe,650,2,2.9
Divine Curries,"North Indian, Chinese, South Indian",700,2,3.0
Moon Bite,"North Indian, Chinese",300,1,3.3
Subway,"American, Fast Food, Salad, Healthy Food",500,2,3.4
Hurry's Paratha,North Indian,200,1,3.5
McDonald's,"Fast Food, Burger",500,2,3.7
Cafe Coffee Day,Cafe,450,1,0.0
Dunkin' Donuts,"Burger, Desserts, Fast Food",600,2,0.0
Green Chilli Fast Food,Chinese,300,1,0.0
Street Food Corner,Chinese,250,1,0.0
Barbeque Nation,"North Indian, Chinese, Mediterranean",1600,3,4.3
Aggarwal,"South Indian, Chinese, Street Food, Mithai",400,1,3.3
Anchor Bar & Kitchen,"North Indian, Chinese",1300,3,2.5
Basil Tree,"Italian, North Indian, Chinese",1200,3,3.4
Bon Bon Pastry Shop,"Bakery, Desserts, Fast Food",150,1,3.1
BSGulati's Punjabi Swad,"North Indian, Mughlai",700,2,2.5
Cafe-18,Fast Food,250,1,2.5
Chandni Chowk Ke Mashhoor Paranthe,North Indian,100,1,2.8
Cheenos,"American, Italian",1500,3,2.6
Gola Sizzlers,"Chinese, North Indian, Mughlai, Continental",1600,3,3.3
Hira Sweets,"Mithai, North Indian, South Indian, Street Food, Chinese",600,2,3.3
Karim's,"Mughlai, North Indian",1200,3,3.3
KFC,"American, Fast Food, Burger",500,2,2.7
Khan's Kathi Rolls,"North Indian, Street Food",400,1,3.2
Nathu's Sweets,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",600,2,2.5
Nawabi Mughlai Zaika,"North Indian, Mughlai",600,2,3.3
Nite Bites,"North Indian, Chinese, Continental",650,2,3.4
Nizam's Kathi Kabab,"North Indian, Fast Food",900,2,3.0
NSD Resto Bar & Kitchen,"North Indian, Chinese, Continental",1000,3,2.6
PS Wah Bhai Wah,"North Indian, Chinese",700,2,2.6
Sagar Ratna,"South Indian, North Indian, Chinese",600,2,3.2
Sbarro,"Pizza, Italian",600,2,3.3
Swag & Swad,"North Indian, Chinese, Mughlai",600,2,3.4
The Fizz,"North Indian, Mughlai, Chinese",1400,3,3.2
The Kitchen,"North Indian, Mughlai",350,1,3.2
Twenty Four Seven,"Fast Food, North Indian",300,1,3.4
Vinny's Restro Bar,"North Indian, Chinese",1300,3,3.2
Walk In The Woods,"North Indian, Mughlai, Chinese",1400,3,3.0
Xiian,"Italian, Continental, North Indian, Chinese",1400,3,3.4
Zest Bar and Lounge,"Finger Food, North Indian, Chinese",1000,3,3.4
Angels in my Kitchen,"Bakery, Desserts, Fast Food",350,1,3.9
Baby Dragon Bar & Restaurant,"North Indian, Continental, Thai, Chinese",1350,3,3.5
Baker Street,"Bakery, Beverages, Fast Food",300,1,3.6
Bamboo Shoots,"Chinese, Seafood, Asian",1600,3,3.9
Bikanervala Bliss,"North Indian, Fast Food, Chinese",1200,3,3.6
Bikanervala,"North Indian, South Indian, Fast Food, Street Food, Chinese, Beverages, Desserts, Mithai",550,2,3.7
Bikkgane Biryani,"Biryani, North Indian, Hyderabadi",800,2,3.8
Burbee's Cafe,"American, Italian, Chinese, North Indian, Cafe",900,2,3.7
Cafe Coffee Day,Cafe,450,1,3.6
Deez Biryani & Kebabs,"Biryani, North Indian, Mughlai",650,2,3.5
Desi Vibes,"North Indian, Mughlai",1400,3,3.8
Dhaba at Atta,"North Indian, Mughlai",1000,3,3.8
DND,"North Indian, Fast Food",350,1,3.5
Domino's Pizza,"Pizza, Fast Food",700,2,3.6
Donald's Pastry Shop,Bakery,300,1,3.8
Doosri Mehfil,"North Indian, Chinese, Mughlai",950,2,3.8
Fit Bites,Healthy Food,800,2,3.8
Hungry Minister,"Continental, Mexican, Fast Food, Chinese",400,1,3.5
Hurry's Paratha,"Pizza, North Indian",200,1,3.5
Imly,"Street Food, Continental, South Indian, North Indian, Chinese",600,2,3.9
Jambox,"Fast Food, Beverages",500,2,3.6
LIT Ultrabar,"Continental, American, North Indian, Chinese",1550,3,3.6
Mainland China,Chinese,1800,3,3.7
McDonald's,Fast Food,500,2,3.9
Metro Dhaba,"North Indian, Fast Food, Chinese, Biryani, Mughlai",500,2,3.8
Nazeer Foods,"Mughlai, North Indian",600,2,3.6
Our Story Bistro & Tea Room,"Cafe, Italian, Continental, Desserts",1000,3,3.9
Paddy's Cafe,Cafe,800,2,3.7
Popular Cakery,"Bakery, Desserts, Fast Food",500,2,3.9
Punjabi By Nature,"North Indian, Mughlai",2000,4,3.7
Sadda Adda,"Fast Food, Chinese, North Indian",300,1,3.5
Subway,"American, Fast Food, Salad, Healthy Food",500,2,3.8
Swagath,"North Indian, Chinese, South Indian, Seafood, Chettinad",1500,3,3.6
TFK - The Flaming Kick,"North Indian, Asian, Continental",2350,4,3.5
The Great Kabab Factory,"North Indian, Mughlai",2200,4,3.5
The Patiala Kkitchen,North Indian,1600,3,3.6
The Tandoori Village,"North Indian, Mughlai, Italian, Chinese",1500,3,3.5
The Yellow Chilli,"North Indian, Mughlai",1600,3,3.7
Top Breads,"Bakery, Fast Food",200,1,3.5
Wat-a-Burger!,Fast Food,350,1,3.6
Chawla's 2,"North Indian, Mughlai, Chinese, Fast Food",700,2,2.2
Himalaya,North Indian,450,1,2.3
Public Cafe,"Fast Food, Beverages",450,1,2.1
RPM - Zanzi Bar,"Chinese, North Indian",2000,4,2.4
Mad Over Donuts,Desserts,450,1,4.2
RollsKing,Fast Food,300,1,4.0
Lumbini Food Point,Chinese,350,1,2.8
Owlcity,Fast Food,400,1,3.6
Night Munchers,North Indian,500,2,0.0
Night Munchies,"North Indian, Chinese, South Indian",500,2,0.0
Anand Food Factory,"North Indian, Chinese",300,1,2.9
Nirula's,"Fast Food, North Indian, Chinese, Desserts, Ice Cream",1100,3,2.5
Snacks India,"North Indian, Chinese, South Indian",500,2,3.6
Ahaar Udyan,"North Indian, Chinese",400,1,0.0
Choco Bee,"Bakery, Desserts",500,2,0.0
Crazy Noodles,"Chinese, Thai",1100,3,0.0
Dakshin Platter,South Indian,300,1,0.0
Kathi Junction,Fast Food,200,1,0.0
Sonu Parantha Corner,North Indian,200,1,0.0
Olive Kitchen,"North Indian, Chinese",500,2,2.6
R Cafe,South Indian,400,1,3.0
Eating Point,North Indian,300,1,0.0
New Gee Pee,"Fast Food, Chinese",300,1,3.3
Uncle's JVCC Restaurant,"North Indian, Chinese",600,2,3.0
Twenty Four Seven,Fast Food,250,1,0.0
Hari Om Restaurant,North Indian,250,1,3.0
Jain Restaurant,"North Indian, Chinese, South Indian",500,2,3.0
Lajawab Family Restaurant,"North Indian, Chinese",450,1,2.5
Alam Muradabadi & Hyderabadi Biryani,"Mughlai, Biryani",500,2,0.0
Bala Ji Raja Dhaba,North Indian,200,1,0.0
Brijwasi Dhaba,North Indian,200,1,0.0
Prerna Family Restaurant,"North Indian, Chinese",450,1,0.0
Rana Dhaba,North Indian,500,2,0.0
The Food Factory,North Indian,150,1,0.0
221 B Baker Street,Bakery,350,1,3.4
Hunger's Hub,"North Indian, Chinese, Mughlai",550,2,3.1
Lajwaab Restaurant,"North Indian, Chinese",500,2,2.6
Republic of Chicken,"Raw Meats, Fast Food",400,1,3.0
Gauranga Sweets,Mithai,500,2,0.0
Green Valley Chinese Food,Chinese,350,1,0.0
Super Cake Shop,"Bakery, Desserts",300,1,2.5
Dev Food,"North Indian, South Indian, Chinese",300,1,0.0
Wakhra Swaad,"North Indian, Fast Food",500,2,4.1
27 Grills,"North Indian, Chinese, Mughlai",600,2,3.3
China Hot Pot,Chinese,400,1,3.0
Himalaya Momos & Roll,"Chinese, Fast Food",200,1,2.7
